iter	Passed	Remaining
0	1	195
1	3	177
2	5	165
3	6	151
4	7	147
5	9	150
6	11	147
7	12	145
8	14	142
9	15	140
10	17	139
11	18	136
12	20	134
13	21	132
14	23	131
15	24	129
16	26	127
17	27	125
18	29	123
19	30	122
20	32	120
21	33	118
22	35	117
23	36	115
24	37	113
25	39	112
26	40	110
27	42	109
28	43	107
29	45	106
30	47	104
31	48	102
32	49	101
33	51	99
34	52	98
35	54	97
36	56	95
37	57	94
38	59	92
39	60	90
40	62	89
41	62	86
42	64	85
43	65	83
44	67	81
45	68	80
46	70	79
47	71	77
48	73	76
49	74	74
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	83	65
56	84	63
57	86	62
58	87	60
59	88	59
60	90	57
61	91	56
62	93	54
63	94	53
64	96	51
65	97	50
66	99	48
67	100	47
68	102	45
69	103	44
70	105	43
71	106	41
72	108	40
73	109	38
74	111	37
75	112	35
76	114	34
77	115	32
78	117	31
79	118	29
80	120	28
81	121	26
82	123	25
83	124	23
84	125	22
85	127	20
86	128	19
87	130	17
88	132	16
89	134	14
90	135	13
91	137	11
92	138	10
93	140	8
94	141	7
95	143	5
96	144	4
97	146	2
98	147	1
99	148	0
